STRINGS;en;de
RootPageData;Root page;Basisseite
ProjectData;Project;Projekt
LocationData;Location;Ort
PlanImageData;Ground plan;Grundriss
DefectData;Defect report;Mängelbericht
DefectDocumentData;Defect Document;Mängeldokument
DefectImageData;Defect Image;Mängelbild
DefectCommentDocumentData;Document for Comment Document;Dokument zum Kommentar
DefectCommentImageData;Image for Comment Image;Bild zum Kommentar
OPEN;open;offen
DISPUTED;disputed;strittig
REJECTED;rejected;abgelehnt
DONE;done;erledigt
CLOSED;closed;abgeschlossen
PREAPPROVE;Preapprove;Vorabnahme
APPROVE;Approve;Abnahme
WARRANTY;Warranty;Gewährleistung
_addDocumentsAndImages;Add Documents and Images;Dokumente und Bilder hinzufügen
_all;all;alle
_assign;Assign;Zuweisen
_assigned;Assigned to;Zugewiesen an
_assignTo;Assign to;Zuweisen an
_closed;Closed;Abgeschlossen
_closeDate;Close Date;Abschlussdatum
_closeDefect;Close;Abschliessen
_comment;Comment;Kommentar
_company;Company;Firma
_companies;Companies;Firmen
_companySaved;Company saved;Firma gespeichert
_companyAdministration;Companies;Firmen
_copyright;© 2019 Elbe 5.de;© 2019 Elbe5.de
_costs;Costs of rectification;Beseitigungskosten
_created;Created;Erstellt
_createDefect;Create Defect Report;Mängelbericht erstellen
_dataAndDescription;Data and Description;Daten und Beschreibung
_defect;Defect report;Mängelbericht
_defects;Defect reports;Mängelberichte
_defectList;Defect List;Mängelliste
_defectClosed;Defect closed;Mängelbericht abgeschlossen
_defectDeleted;Defect report deleted;Mängelbericht gelöscht
_defectSaved;Defect report saved;Mängelbericht gespeichert
_defectAssigned;Defect assigned;Mängelbericht zugewiesen
_defectComment;Defect comment;Mängelkommentar
_defectCommentss;Defect comments;Mängelkommentare
_defectCommentDeleted;Defect comment deleted;Mängelkommentar gelöscht
_defectCommentSaved;Defect comment saved;Mängelkommentar gespeichert
_defectTracking;Defect Tracking;Mängelverfolgung
_documentsAndImages;Documents and Images;Dokumente und Bilder
_downloadExcel;Download as Excel file;Als Excel-Datei herunterladen
_downloadPdf;Download as PDF file;Als PDF-Datei herunterladen
_downloadWord;Download Word file;Word-Datei herunterladen
_due;Deadline;Frist
_dueDate;Deadline;Fristsetzung
_dueDate1;Deadline;Fristsetzung
_dueDate2;Extended deadline;Nachfristsetzung
_editCompany;Company Data;Firmendaten
_editDefectComment;Comment;Kommentar
_editProject;Project Data;Projektdaten
_enterPosition;Mark position (again);Lage (neu) markieren
_excludeClosed;Do not show closed;Geschlossene nicht anzeigen
_filter;View;Ansicht
_floor;Floor;Etage
_groundFloor;Ground floor;Erdgeschoss
_location;Location;Ort
_locations;Locations;Orte
_locationPlan;Plan;Plan
_locationPlans;Plans;Pläne
_locationPlanDeleted;Plan deleted;Plan gelöscht
_locationPlanSaved;Plan saved;Plan gespeichert
_lot;Lot;Gewerk
_noProject;You are not assigned to any project.;Sie sind keinem Projekt zugeordnet.
_num;Number;Nummer
_phase;Phase;Phase
_plan;Plan;Grundriss
_planDescription;Description (Plan);Beschreibung (Grundriss)
_planDisplayName;Display Name (Plan);Dargestellter Name (Grundriss)
_projectLocation;Location;Standort
_projectLocations;Locations;Standorte
_projectLocationDeleted;Location deleted;Standort gelöscht
_projectLocationSaved;Location saved;Standort gespeichert
_owner;Owner;Besitzer
_position;Position;Lage
_positionComment;Position description;Lagebeschreibung
_positionEditor;Position Editor;Lageditor
_project;Project;Projekt
_projects;Projects;Projekte
_projectSaved;Project saved;Projekt gespeichert
_projectAdministration;Projects;Projekte
_projectDeleted;Project deleted;Projekt gelöscht
_projectTask;Project Task;Aufgabe/Gewerk
_projectTasks;Project Tasks;Aufgaben/Gewerke
_projectTaskDeleted;Project Task deleted;Aufgabe/Gewerk gelöscht
_projectTaskSaved;Task saved;Aufgabe/Gewerk gespeichert
_report;Defect Report;Mängelbericht
_reports;Defect Reports;Mängelberichte
_selectProject;Please select a project;Wählen Sie bitte ein Projekt
_setFilter;Set Filter;Filter setzen
_showClosedDefects;Show also closed defects;Auch abgeschlossene Mängel anzeigen
_showUserDefects;Show defects for;Mängel anzeigen für
_state;State;Status
_uploadHint;Hint: The maximum size for uploadable images is 1 MB.;Hinweis: Die maximale Größe für hochzugeladende Bilder beträgt 1 MB.

